Time [s],Channel 0,Channel 1
3.376259250,0,1
3.376264333,0,0
3.376269292,1,0
3.376273792,1,1
3.376278708,1,0
3.376283833,1,1
3.376288750,1,0
3.376293875,1,1
3.376298833,1,0
3.376299167,0,0
3.376303917,0,1
3.376308875,0,0
3.376309375,1,0
3.376313958,1,1
3.376318917,1,0
3.376324000,1,1
3.376328958,1,0
3.376329333,0,0
3.376334083,0,1
3.376339000,0,0
3.376344125,0,1
3.376349042,0,0
3.376354167,0,1
3.376359083,0,0
3.376359417,1,0
3.376369417,1,1
3.376374375,1,0
3.376379458,1,1
3.376384417,1,0
3.376389500,1,1
3.376394458,1,0
3.376399542,1,1
3.376404500,1,0
3.376409583,1,1
3.376414542,1,0
3.376414917,0,0
3.376419667,0,1
3.376424583,0,0
3.376425125,1,0
3.376429708,1,1
3.376434625,1,0
3.376435000,0,0
3.376439750,0,1
3.376444667,0,0
3.376449792,0,1
3.376454750,0,0
3.376455042,1,0
3.376459542,0,0
3.376464250,0,1
3.376470000,1,1
3.376490000,0,1
3.376495125,0,0
3.376500083,1,0
3.376504542,1,1
3.376509500,1,0
3.376514583,1,1
3.376519542,1,0
3.376524625,1,1
3.376529583,1,0
3.376529958,0,0
3.376534667,0,1
3.376539625,0,0
3.376540125,1,0
3.376544750,1,1
3.376549667,1,0
3.376554792,1,1
3.376559708,1,0
3.376560083,0,0
3.376564833,0,1
3.376569750,0,0
3.376570292,1,0
3.376574875,1,1
3.376579833,1,0
3.376579958,0,0
3.376584917,0,1
3.376589875,0,0
3.376590208,1,0
3.376599042,1,1
3.376604000,1,0
3.376604125,0,0
3.376609083,0,1
3.376614042,0,0
3.376619125,0,1
3.376624083,0,0
3.376629208,0,1
3.376634125,0,0
3.376639250,0,1
3.376644167,0,0
3.376649292,0,1
3.376654208,0,0
3.376659333,0,1
3.376664292,0,0
3.376669375,0,1
3.376674333,0,0
3.376674625,1,0
3.376674667,0,0
3.376679417,0,1
3.376684375,0,0
3.376684875,1,0
3.376694667,1,1
3.376699625,1,0
3.376699750,0,0
3.376704750,0,1
3.376709667,0,0
3.376710000,1,0
3.376714792,1,1
3.376719708,1,0
3.376719875,0,0
3.376724833,0,1
3.376729750,0,0
3.376734875,0,1
3.376739833,0,0
3.376740125,1,0
3.376744917,1,1
3.376749875,1,0
3.376750000,0,0
3.376754958,0,1
3.376759917,0,0
3.376760250,1,0
3.376765000,1,1
3.376769958,1,0
3.376770333,0,0
3.376775042,0,1
3.376780000,0,0
3.376790375,0,1
3.376795333,0,0
3.376800417,0,1
3.376805375,0,0
3.376810458,0,1
3.376815417,0,0
3.376820500,0,1
3.376825458,0,0
3.376830583,0,1
3.376835500,0,0
3.376840625,0,1
3.376845542,0,0
3.376850667,0,1
3.376855583,0,0
3.376860708,0,1
3.376865667,0,0
3.376865958,1,0
3.376870750,1,1
3.376875708,1,0
3.376881667,0,0
3.376886333,0,1
3.376892083,1,1
4.382646167,0,1
4.382651250,0,0
4.382656167,1,0
4.382660625,1,1
4.382665583,1,0
4.382670667,1,1
4.382675625,1,0
4.382680708,1,1
4.382685667,1,0
4.382686042,0,0
4.382690750,0,1
4.382695708,0,0
4.382696208,1,0
4.382700792,1,1
4.382705750,1,0
4.382710875,1,1
4.382715792,1,0
4.382716167,0,0
4.382720917,0,1
4.382725833,0,0
4.382730958,0,1
4.382735917,0,0
4.382741000,0,1
4.382745958,0,0
4.382746250,1,0
4.382756250,1,1
4.382761208,1,0
4.382766292,1,1
4.382771250,1,0
4.382776333,1,1
4.382781292,1,0
4.382786417,1,1
4.382791333,1,0
4.382796458,1,1
4.382801375,1,0
4.382801750,0,0
4.382806500,0,1
4.382811417,0,0
4.382811958,1,0
4.382816542,1,1
4.382821500,1,0
4.382821833,0,0
4.382826583,0,1
4.382831542,0,0
4.382836625,0,1
4.382841583,0,0
4.382841917,1,0
4.382846333,0,0
4.382851000,0,1
4.382856792,1,1
4.382876792,0,1
4.382881875,0,0
4.382886792,1,0
4.382891250,1,1
4.382896208,1,0
4.382901292,1,1
4.382906250,1,0
4.382911333,1,1
4.382916292,1,0
4.382916667,0,0
4.382921417,0,1
4.382926333,0,0
4.382926875,1,0
4.382931458,1,1
4.382936375,1,0
4.382941500,1,1
4.382946458,1,0
4.382946792,0,0
4.382951542,0,1
4.382956500,0,0
4.382957000,1,0
4.382961583,1,1
4.382966542,1,0
4.382966667,0,0
4.382971625,0,1
4.382976583,0,0
4.382976917,1,0
4.382985833,1,1
4.382990792,1,0
4.382990917,0,0
4.382995875,0,1
4.383000833,0,0
4.383005917,0,1
4.383010875,0,0
4.383015958,0,1
4.383020917,0,0
4.383026000,0,1
4.383030958,0,0
4.383036083,0,1
4.383041000,0,0
4.383046125,0,1
4.383051042,0,0
4.383056167,0,1
4.383061083,0,0
4.383061417,1,0
4.383061458,0,0
4.383066208,0,1
4.383071167,0,0
4.383071667,1,0
4.383081458,1,1
4.383086417,1,0
4.383086542,0,0
4.383091500,0,1
4.383096458,0,0
4.383096792,1,0
4.383101542,1,1
4.383106500,1,0
4.383106625,0,0
4.383111625,0,1
4.383116542,0,0
4.383121667,0,1
4.383126583,0,0
4.383131708,0,1
4.383136625,0,0
4.383136958,1,0
4.383141750,1,1
4.383146667,1,0
4.383151792,1,1
4.383156750,1,0
4.383157083,0,0
4.383161833,0,1
4.383166792,0,0
4.383167292,1,0
4.383177167,1,1
4.383182083,1,0
4.383187208,1,1
4.383192167,1,0
4.383192292,0,0
4.383197250,0,1
4.383202208,0,0
4.383207292,0,1
4.383212250,0,0
4.383217333,0,1
4.383222292,0,0
4.383227417,0,1
4.383232333,0,0
4.383237458,0,1
4.383242375,0,0
4.383247500,0,1
4.383252417,0,0
4.383252750,1,0
4.383257542,1,1
4.383262458,1,0
4.383268417,0,0
4.383273125,0,1
4.383278875,1,1
4.383861500,0,1
4.383866625,0,0
4.383871500,1,0
4.383876000,1,1
4.383880917,1,0
4.383886042,1,1
4.383890958,1,0
4.383896083,1,1
4.383901000,1,0
4.383901375,0,0
4.383906125,0,1
4.383911083,0,0
4.383911583,1,0
4.383916167,1,1
4.383921125,1,0
4.383926208,1,1
4.383931167,1,0
4.383931542,0,0
4.383936250,0,1
4.383941208,0,0
4.383946333,0,1
4.383951250,0,0
4.383956375,0,1
4.383961292,0,0
4.383961625,1,0
4.383971625,1,1
4.383976542,1,0
4.383981667,1,1
4.383986625,1,0
4.383991708,1,1
4.383996667,1,0
4.384001750,1,1
4.384006708,1,0
4.384007083,0,0
4.384011792,0,1
4.384016750,0,0
4.384017250,1,0
4.384021833,1,1
4.384026792,1,0
4.384031875,1,1
4.384036833,1,0
4.384041958,1,1
4.384046875,1,0
4.384047042,0,0
4.384052000,0,1
4.384056917,0,0
4.384057250,1,0
4.384061708,0,0
4.384066375,0,1
4.384072125,1,1
4.384092167,0,1
4.384097250,0,0
4.384102208,1,0
4.384106667,1,1
4.384111625,1,0
4.384116750,1,1
4.384121667,1,0
4.384126792,1,1
4.384131708,1,0
4.384132083,0,0
4.384136833,0,1
4.384141750,0,0
4.384142292,1,0
4.384146875,1,1
4.384151833,1,0
4.384156917,1,1
4.384161875,1,0
4.384162250,0,0
4.384166958,0,1
4.384171917,0,0
4.384172417,1,0
4.384177000,1,1
4.384181958,1,0
4.384182083,0,0
4.384187042,0,1
4.384192000,0,0
4.384192333,1,0
4.384201167,1,1
4.384206125,1,0
4.384211250,1,1
4.384216167,1,0
4.384221292,1,1
4.384226208,1,0
4.384231333,1,1
4.384236292,1,0
4.384241375,1,1
4.384246333,1,0
4.384251417,1,1
4.384256375,1,0
4.384261458,1,1
4.384266417,1,0
4.384271500,1,1
4.384276458,1,0
4.384276833,0,0
4.384281583,0,1
4.384286500,0,0
4.384287000,1,0
4.384296833,1,1
4.384301750,1,0
4.384306875,1,1
4.384311833,1,0
4.384316917,1,1
4.384321875,1,0
4.384326958,1,1
4.384331917,1,0
4.384337000,1,1
4.384341958,1,0
4.384347042,1,1
4.384352000,1,0
4.384357083,1,1
4.384362042,1,0
4.384367167,1,1
4.384372083,1,0
4.384372458,0,0
4.384377208,0,1
4.384382125,0,0
4.384382667,1,0
4.384392583,1,1
